WWW.GUERRADASFINANCAS.COM,,,,
,TICKER,LOGO,VARIAÇÃO,COTAÇÃO
,BALM3,,0,"R$ 13,00"
,AGRO3,,"1,36","R$ 23,92"
,BPAC11,,"0,56","R$ 34,15"
,CSED3,,"0,92","R$ 3,30"
,EZTC3,,"0,56","R$ 14,38"
,CXSE3,,"-0,85","R$ 14,08"
,NUTR3,,"-1,49","R$ 3,30"
,CPLE3,,"2,28","R$ 8,54"
,CURY3,,"-1,95","R$ 22,66"
,LREN3,,0,"R$ 3.260,00"
,ENMT3,,"3,76","R$ 82,98"
,BMIN3,,0,"R$ 20,70"
,ABEV3,,"-0,71","R$ 12,64"
,JOPA3,,0,"R$ 21,10"
,ODPV3,,"-4,18","R$ 10,32"
,SMFT3,,"-2,27","R$ 19,79"
,TIMS3,,"0,67","R$ 16,48"
,INTB3,,"-1,8","R$ 16,40"
,OPCT3,,"0,16","R$ 6,15"
,LPSB3,,"1,86","R$ 1,64"
,KLBN11,,"-0,44","R$ 20,51"
,GMAT3,,"-1,76","R$ 7,24"
,KLBN4,,0,"R$ 4,11"
,KLBN3,,"-0,72","R$ 4,12"
,BMOB3,,"-0,28","R$ 14,25"
,PTNT4,,"-1,71","R$ 6,32"
,ALUP4,,"1,06","R$ 9,50"
,CPLE6,,"2,02","R$ 9,59"
,MULT3,,"3,22","R$ 25,65"
,ALUP11,,"0,21","R$ 28,80"
,ALUP3,,0,"R$ 9,85"
,FRAS3,,"-0,24","R$ 20,73"
,ENGI3,,"2,27","R$ 12,59"
,PNVL3,,"-1,02","R$ 9,75"
,MATD3,,"-1,6","R$ 4,30"
,ARZZ3,,,#N/A
,SLCE3,,"-1,28","R$ 16,98"
,B3SA3,,"0,39","R$ 10,27"
,CSAN3,,"-1,14","R$ 11,30"
,BPAN4,,"-0,13","R$ 7,64"
,VIVA3,,"-1,28","R$ 24,00"
,VIVT3,,"-0,88","R$ 51,60"
,CEAB3,,"-11,97","R$ 11,55"
,LUXM4,,0,"R$ 12,49"
,SBSP3,,"1,92","R$ 96,31"
,SBFG3,,"-0,97","R$ 13,24"
,TFCO4,,"-2,41","R$ 9,30"
,DMVF3,,"0,45","R$ 6,64"
,PORT3,,"0,45","R$ 15,80"
,FESA3,,"-0,08","R$ 12,59"
,VAMO3,,"-1,25","R$ 5,53"
,FLRY3,,"-1,08","R$ 13,77"
,DESK3,,"-1,53","R$ 13,54"
,IGTI3,,"2,12","R$ 2,41"
,BPAC3,,"4,31","R$ 16,70"
,EQTL3,,"4,04","R$ 32,67"
,CCRO3,,"0,25","R$ 11,91"
,WHRL3,,"0,74","R$ 4,07"
,GGPS3,,"1,26","R$ 17,71"
,ONCO3,,"-12,03","R$ 3,95"
,BSLI3,,0,"R$ 8,50"
,WHRL4,,"2,4","R$ 4,27"
,BSLI4,,"3,71","R$ 8,38"
,AFLT3,,0,"R$ 7,21"
,USIM6,,0,"R$ 9,90"
,MYPK3,,"1,66","R$ 11,63"
,ARML3,,"4,61","R$ 7,95"
,CPLE5,,"-0,87","R$ 11,40"
,IGTI11,,"0,2","R$ 20,15"
,ELET3,,"0,48","R$ 35,68"
,JPSA3,,,#N/A
,EMBR3,,"-2,24","R$ 55,42"
,SRNA3,,"-3,38","R$ 6,87"
,STBP3,,"0,78","R$ 12,84"
,PTNT3,,"1,92","R$ 9,02"
,BAUH4,,0,"R$ 78,75"
,JOPA4,,0,"R$ 34,98"
,ASAI3,,"-0,28","R$ 7,06"
,ELET6,,"0,92","R$ 40,58"
,MERC4,,0,"R$ 8,70"
,RENT3,,"-2,29","R$ 4.475,00"
,YDUQ3,,"-1,82","R$ 10,24"
,TOTS3,,"1,08","R$ 30,00"
,ALOS3,,"0,5","R$ 21,95"
,ELMD3,,"0,04","R$ 27,51"
,RDOR3,,"0,44","R$ 29,50"
,VTRU3,,"-2,91","R$ 8,00"
,PATI3,,0,"R$ 27,00"
,NINJ3,,"-3,84","R$ 4,51"
